MapID,Algorithm,PathLength,NodesVisited,TimeMs
b3596256dfa0b8b6,A*,134,1766,464.456
b3596256dfa0b8b6,Dijkstra,134,26475,409.655
b3596256dfa0b8b6,JPS,134,491,4247.960
667d99f08f7808ac,A*,249,4185,432.491
667d99f08f7808ac,Dijkstra,249,47992,573.752
667d99f08f7808ac,JPS,249,2766,18218.882
d327b0b3fc203590,A*,449,3531,455.297
d327b0b3fc203590,Dijkstra,449,162439,1642.589
d327b0b3fc203590,JPS,449,3,38.670
d327b0b3fc203590,JPS,551,1949,8966.734
d327b0b3fc203590,Dijkstra,551,209786,2060.203
d327b0b3fc203590,A*,551,9322,466.189
536aeb9ec67820b0,A*,751,19186,566.910
536aeb9ec67820b0,Dijkstra,751,221085,2154.894
536aeb9ec67820b0,JPS,751,3,750.977
62e04d92b8ddf989,A*,751,55000,958.756
62e04d92b8ddf989,Dijkstra,751,220944,2192.263
62e04d92b8ddf989,JPS,751,11,452.114
62e04d92b8ddf989,A*,317,23146,631.468
62e04d92b8ddf989,Dijkstra,317,54002,624.914
62e04d92b8ddf989,JPS,317,7,170.509
62e04d92b8ddf989,JPS,349,34,1282.930
62e04d92b8ddf989,A*,349,29728,697.861
62e04d92b8ddf989,Dijkstra,349,64466,713.712
74615db0580bba11,A*,237,2123,401.686
74615db0580bba11,Dijkstra,237,63565,717.774
d6dfec247db5a499,A*,398,9131,463.091
d6dfec247db5a499,Dijkstra,398,93419,966.467
f0091f2bdcb482d1,A*,227,4495,424.243
f0091f2bdcb482d1,Dijkstra,227,52736,622.139
ea54b82eee4f3938,A*,226,2251,408.600
ea54b82eee4f3938,Dijkstra,226,60733,693.733
aa6075ab01d710fc,A*,308,5279,446.475
aa6075ab01d710fc,Dijkstra,308,76101,832.465
64cc74cdac45cb77,Dijkstra,614,220374,2182.640
64cc74cdac45cb77,A*,614,10762,495.954
64cc74cdac45cb77,JPS,0,7,2.054
64cc74cdac45cb77,JPS,0,7,2.023
64cc74cdac45cb77,JPS,0,7,2.028
64cc74cdac45cb77,JPS,0,7,2.067
64cc74cdac45cb77,JPS,0,7,2.025
64cc74cdac45cb77,JPS,0,7,2.021
64cc74cdac45cb77,JPS,7,7,71.340
64cc74cdac45cb77,JPS,7,7,71.498
64cc74cdac45cb77,JPS,7,7,71.302
64cc74cdac45cb77,JPS,7,7,71.369
64cc74cdac45cb77,JPS,3,3,19.335
64cc74cdac45cb77,JPS,3,3,18.490
536aeb9ec67820b0,JPS,3,3,117.838
599ff1222d59b0de,A*,130,3197,38.192
599ff1222d59b0de,Dijkstra,130,8796,70.240
599ff1222d59b0de,JPS,0,7,1.868
599ff1222d59b0de,JPS,3,3,0.971
5bba1ebb9a7951da,JPS,19,22,4.990
5bba1ebb9a7951da,A*,84,1633,28.098
5bba1ebb9a7951da,Dijkstra,84,5131,46.487
5bba1ebb9a7951da,JPS,19,22,4.978
cf5445e5dd1ebacb,A*,0,9541,101.055
9da175af3480c0ba,A*,179,3428,43.334
9da175af3480c0ba,Dijkstra,179,9258,77.976
9da175af3480c0ba,JPS,0,1,0.057
9da175af3480c0ba,JPS,0,1,0.027
9da175af3480c0ba,A*,54,176,15.149
9da175af3480c0ba,Dijkstra,54,1370,16.534
9da175af3480c0ba,JPS,0,1,0.029
9da175af3480c0ba,JPS,0,1,0.024
fc4813e958d66ce8,A*,63,590,17.976
fc4813e958d66ce8,Dijkstra,63,3148,28.999
fc4813e958d66ce8,JPS,7,12,5.925
fc4813e958d66ce8,JPS,5,11,4.932
fc4813e958d66ce8,JPS,2,5,1.409
fc4813e958d66ce8,JPS,6,13,3.932
1d289a7f2cd8c521,JPS,0,8,1.951
1d289a7f2cd8c521,JPS,3,7,2.038
8b3963e324f1dd32,JPS,0,15,0.234
8b3963e324f1dd32,JPS,2,4,3.268
9917b2669512b361,JPS,3,5,2.201
9917b2669512b361,Dijkstra,36,2080,21.699
9917b2669512b361,Dijkstra,36,2080,21.472
9917b2669512b361,A*,36,102,13.547
9917b2669512b361,JPS,11,20,2.514
9917b2669512b361,Dijkstra,146,7384,59.452
9917b2669512b361,A*,146,1521,24.580
9917b2669512b361,Dijkstra,146,7384,59.589
9917b2669512b361,A*,146,1521,24.706
9917b2669512b361,Dijkstra,146,7384,59.855
9917b2669512b361,A*,146,1521,24.759
9917b2669512b361,Dijkstra,146,7384,59.832
9917b2669512b361,A*,146,1521,24.724
9917b2669512b361,JPS,11,18,1.782
9917b2669512b361,A*,130,1001,21.135
9917b2669512b361,Dijkstra,130,5551,49.373
9917b2669512b361,A*,104,954,19.898
9917b2669512b361,JPS,13,39,3.885
9917b2669512b361,Dijkstra,104,3006,27.071
9917b2669512b361,A*,104,954,19.819
9917b2669512b361,JPS,13,39,3.881
3b226f704bce2940,JPS,3,3,367.461
d2dc60a9ec44d14e,A*,62,295,15.172
d2dc60a9ec44d14e,JPS,6,11,500.566
d2dc60a9ec44d14e,JPS,6,11,490.519
47380993ef611517,A*,66,1048,20.799
47380993ef611517,Dijkstra,66,2890,26.636
47380993ef611517,JPS,11,17,108.994
3b226f704bce2940,JPS,2,2,1124.405
3b226f704bce2940,JPS,3,3,201.931
3b226f704bce2940,JPS,2,2,4.898
3b226f704bce2940,A*,42,42,12.853
3b226f704bce2940,Dijkstra,42,2970,26.638
3b226f704bce2940,JPS,2,2,4.879
3b226f704bce2940,JPS,3,3,4.964
3b226f704bce2940,JPS,0,124,3.034
3b226f704bce2940,JPS,3,3,5.089
3b226f704bce2940,A*,73,877,20.733
3b226f704bce2940,Dijkstra,73,5131,43.763
3b226f704bce2940,JPS,3,3,5.236
3b226f704bce2940,JPS,3,3,70.457
